secid,date,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,low,high,open,close,volume,return,cfadj,shrout,cfret
101594,20020102,03783310,AAPL,3571,0,4,,0,314,21.96,23.3,22.05,23.3,9453900,0.063927,2,351723,2
101594,20020103,03783310,AAPL,3571,0,4,,0,314,22.77,23.75,23,23.58,10928700,0.012017,2,351723,2
101594,20020104,03783310,AAPL,3571,0,4,,0,314,22.99,23.95,23.34,23.69,7320800,0.004665,2,351723,2
101594,20020107,03783310,AAPL,3571,0,4,,0,314,22.75,24,23.72,22.9,7937900,-0.033347,2,351723,2
101594,20020108,03783310,AAPL,3571,0,4,,0,314,22.46,23.05,22.75,22.61,8036400,-0.012664,2,351723,2
101594,20020109,03783310,AAPL,3571,0,4,,0,314,21.28,22.93,22.8,21.65,5850600,-0.042459,2,351723,2
101594,20020110,03783310,AAPL,3571,0,4,,0,314,20.259,21.469,21.22,21.23,8084600,-0.0194,2,351723,2
101594,20020111,03783310,AAPL,3571,0,4,,0,314,20.6,21.84,21.39,21.05,6227100,-0.008479,2,351723,2
101594,20020114,03783310,AAPL,3571,0,4,,0,314,20.9,21.4,21.01,21.15,7423200,0.004751,2,351723,2
101594,20020115,03783310,AAPL,3571,0,4,,0,314,21.21,21.76,21.32,21.7,5184300,0.026005,2,351723,2
101594,20020116,03783310,AAPL,3571,0,4,,0,314,20.5,21.41,21.41,20.78,10015800,-0.042396,2,351723,2
101594,20020117,03783310,AAPL,3571,0,4,,0,314,21.87,22.74,21.967,22.48,11795200,0.081809,2,351723,2
101594,20020118,03783310,AAPL,3571,0,4,,0,314,21.96,22.6,22,22.17,6050200,-0.01379,2,351723,2
101594,20020122,03783310,AAPL,3571,0,4,,0,314,21.82,22.37,22.27,21.82,5844700,-0.015787,2,351723,2
101594,20020123,03783310,AAPL,3571,0,4,,0,314,21.59,23.04,21.8,23.02,7906500,0.054995,2,351723,2
101594,20020124,03783310,AAPL,3571,0,4,,0,314,22.9,23.51,22.91,23.21,6142900,0.008254,2,351723,2
101594,20020125,03783310,AAPL,3571,0,4,,0,314,22.66,23.42,22.89,23.25,3319900,0.001723,2,351723,2
101594,20020128,03783310,AAPL,3571,0,4,,0,314,22.72,23.55,23.4,23.27,3328400,0.00086,2,351723,2
101594,20020129,03783310,AAPL,3571,0,4,,0,314,22.85,23.54,23.22,23.07,4291500,-0.008595,2,351723,2
101594,20020130,03783310,AAPL,3571,0,4,,0,314,22.94,24.14,23.07,24.09,8419600,0.044213,2,351723,2
101594,20020131,03783310,AAPL,3571,0,4,,0,314,24.11,24.73,24.16,24.72,8365100,0.026152,2,351723,2
101594,20020201,03783310,AAPL,3571,0,4,,0,314,24.34,24.96,24.34,24.41,7112500,-0.01254,2,351723,2
101594,20020204,03783310,AAPL,3571,0,4,,0,314,24.2,25.52,24.32,25.35,9327900,0.038509,2,351723,2
101594,20020205,03783310,AAPL,3571,0,4,,0,314,25.08,25.98,25.09,25.45,8158700,0.003945,2,351723,2
101594,20020206,03783310,AAPL,3571,0,4,,0,314,24.15,25.98,25.605,24.67,10669500,-0.030648,2,351723,2
101594,20020207,03783310,AAPL,3571,0,4,,0,314,24.08,25.29,24.65,24.3,6211200,-0.014998,2,351723,2
101594,20020208,03783310,AAPL,3571,0,4,,0,314,23.37,24.64,24.405,24.03,6343600,-0.011111,2,351723,2
101594,20020211,03783310,AAPL,3571,0,4,,0,314,23.74,25,23.93,24.98,7117700,0.039534,2,351723,2
101594,20020212,03783310,AAPL,3571,0,4,,0,314,24.45,25.04,24.66,24.71,4005000,-0.010809,2,351723,2
101594,20020213,03783310,AAPL,3571,0,4,,0,314,24.65,25.24,24.73,25.01,5587000,0.012141,2,353383,2
101594,20020214,03783310,AAPL,3571,0,4,,0,314,24.38,25.23,25.05,24.6,4645400,-0.016393,2,353383,2
101594,20020215,03783310,AAPL,3571,0,4,,0,314,23.85,24.98,24.53,23.9,4646200,-0.028455,2,353383,2
101594,20020219,03783310,AAPL,3571,0,4,,0,314,22.48,23.9,23.76,22.62,6968700,-0.053556,2,353383,2
101594,20020220,03783310,AAPL,3571,0,4,,0,314,22.35,23.2,22.77,23.13,5095900,0.022546,2,353383,2
101594,20020221,03783310,AAPL,3571,0,4,,0,314,21.45,23,22.92,21.5,7977500,-0.070471,2,353383,2
101594,20020222,03783310,AAPL,3571,0,4,,0,314,21.5,22.95,21.66,22.74,7258500,0.057674,2,353383,2
101594,20020225,03783310,AAPL,3571,0,4,,0,314,22.36,24.72,22.85,23.81,7622300,0.047054,2,353383,2
101594,20020226,03783310,AAPL,3571,0,4,,0,314,23.25,24.37,23.91,23.67,4645200,-0.00588,2,353383,2
101594,20020227,03783310,AAPL,3571,0,4,,0,314,20.94,24.25,23.94,21.96,18393200,-0.072243,2,353383,2
101594,20020228,03783310,AAPL,3571,0,4,,0,314,21.35,22.59,22.15,21.7,8159600,-0.01184,2,353383,2
101594,20020301,03783310,AAPL,3571,0,4,,0,314,21.82,23.5,21.93,23.45,6211400,0.080645,2,353383,2
101594,20020304,03783310,AAPL,3571,0,4,,0,314,22.76,24.58,23.26,24.29,6218900,0.035821,2,353383,2
101594,20020305,03783310,AAPL,3571,0,4,,0,314,23.4,24.43,24.15,23.53,4905400,-0.031289,2,353383,2
101594,20020306,03783310,AAPL,3571,0,4,,0,314,22.93,24.34,23.48,24.07,4039400,0.022949,2,353383,2
101594,20020307,03783310,AAPL,3571,0,4,,0,314,23.61,24.53,24.06,24.38,4611600,0.012879,2,353383,2
101594,20020308,03783310,AAPL,3571,0,4,,0,314,24.3,25.09,24.74,24.66,4817300,0.011485,2,353383,2
101594,20020311,03783310,AAPL,3571,0,4,,0,314,24.1,25.14,24.6,25.06,4692600,0.016221,2,353383,2
101594,20020312,03783310,AAPL,3571,0,4,,0,314,24.1,24.74,24.51,24.72,4533600,-0.013567,2,353383,2
101594,20020313,03783310,AAPL,3571,0,4,,0,314,24.15,24.851,24.37,24.49,3585100,-0.009304,2,353383,2
101594,20020314,03783310,AAPL,3571,0,4,,0,314,23.879,24.6,24.3,24.43,3880300,-0.00245,2,353383,2
101594,20020315,03783310,AAPL,3571,0,4,,0,314,24.25,24.96,24.46,24.95,4301800,0.021285,2,353383,2
101594,20020318,03783310,AAPL,3571,0,4,,0,314,24.32,25.05,24.95,24.74,5043000,-0.008417,2,353383,2
101594,20020319,03783310,AAPL,3571,0,4,,0,314,24.3,25.3,24.69,24.85,4327600,0.004446,2,353383,2
101594,20020320,03783310,AAPL,3571,0,4,,0,314,24.5,25.14,24.66,24.92,5255700,0.002817,2,353383,2
101594,20020321,03783310,AAPL,3571,0,4,,0,314,23.26,24.3,23.86,24.27,11033500,-0.026083,2,353383,2
101594,20020322,03783310,AAPL,3571,0,4,,0,314,23.87,24.56,24.22,24.09,3610600,-0.007417,2,353875,2
101594,20020325,03783310,AAPL,3571,0,4,,0,314,23.24,24.09,24.07,23.35,4693400,-0.030718,2,353875,2
101594,20020326,03783310,AAPL,3571,0,4,,0,314,23,23.64,23.2,23.46,4603800,0.004711,2,353875,2
101594,20020327,03783310,AAPL,3571,0,4,,0,314,23.26,23.72,23.35,23.47,2280400,0.000426,2,353875,2
101594,20020328,03783310,AAPL,3571,0,4,,0,314,23.46,23.88,23.7,23.67,1905200,0.008522,2,353875,2
101594,20020401,03783310,AAPL,3571,0,4,,0,314,23.28,24.702,23.38,24.46,3554400,0.033376,2,353875,2
101594,20020402,03783310,AAPL,3571,0,4,,0,314,23.87,24.3,24,24.07,3623700,-0.015944,2,353875,2
101594,20020403,03783310,AAPL,3571,0,4,,0,314,23.6,24.49,24.05,23.75,3830900,-0.013295,2,353875,2
101594,20020404,03783310,AAPL,3571,0,4,,0,314,23.67,25.05,23.67,24.9,6044600,0.048421,2,353875,2
