,title,time,link,tag
0,"S&P, Dow flat after jobs data; Apple lifts Nasdaq",2017-11-03 11:40:00,http://www.nasdaq.com/article/sp-dow-flat-after-jobs-data-apple-lifts-nasdaq-20171103-00769,Stocks
1,"US STOCKS-S&P, Dow flat after jobs data; Apple lifts Nasdaq",2017-11-03 11:40:00,http://www.nasdaq.com/article/us-stockssp-dow-flat-after-jobs-data-apple-lifts-nasdaq-20171103-00770,"Stocks,US Markets"
2,Periscope's New Ways To Get Money To Broadcasters,2017-11-03 11:31:00,http://www.nasdaq.com/article/periscopes-new-ways-to-get-money-to-broadcasters-20171103-00761,Stocks
3,Media Stocks Punished As Investors Flee On Cord-Cutting Fears,2017-11-03 11:30:40,http://www.nasdaq.com/article/media-stocks-punished-as-investors-flee-on-cord-cutting-fears-cm871283,"Investing,Stocks"
4,Investors Like Outlook For Investment-Grade U.S. Corporate Bonds And Funds,2017-11-03 11:28:58,http://www.nasdaq.com/article/investors-like-outlook-for-investment-grade-us-corporate-bonds-and-funds-cm871285,"Investing,Stocks"
5,"Mutual Fund Managers Like Foreign Stocks, U.S. Stocks If Taxes Are Cut",2017-11-03 11:27:52,http://www.nasdaq.com/article/mutual-fund-managers-like-foreign-stocks-us-stocks-if-taxes-are-cut-cm871287,"Investing,Stocks"
6,Notable Two Hundred Day Moving Average Cross - UGP,2017-11-03 11:26:46,http://www.nasdaq.com/article/notable-two-hundred-day-moving-average-cross-ugp-cm871343,"Investing,Commodities"
7,"Notable ETF Inflow Detected - VTV, CVS, QCOM, LMT",2017-11-03 11:26:42,http://www.nasdaq.com/article/notable-etf-inflow-detected-vtv-cvs-qcom-lmt-cm871284,"Investing,ETFs"
8,"IYG, AXP, PNC, BK: ETF Outflow Alert",2017-11-03 11:26:40,http://www.nasdaq.com/article/iyg-axp-pnc-bk-etf-outflow-alert-cm871286,"Investing,ETFs"
9,"VV, CVX, BA, UTX: Large Inflows Detected at ETF",2017-11-03 11:26:38,http://www.nasdaq.com/article/vv-cvx-ba-utx-large-inflows-detected-at-etf-cm871290,"Investing,ETFs"
10,"Activision Blizzard, Inc's Streak of Incredible Earnings Continues",2017-11-03 11:22:00,http://www.nasdaq.com/article/activision-blizzard-incs-streak-of-incredible-earnings-continues-cm871298,"Personal Finance,Stocks"
11,McKinsey worked with S.African firm after learning of Gupta links,2017-11-03 11:19:00,http://www.nasdaq.com/article/mckinsey-worked-with-safrican-firm-after-learning-of-gupta-links-20171103-00768,Stocks
12,Equifax Panel Clears Executives Of Insider Trading But DOJ Probe Looms,2017-11-03 11:18:37,http://www.nasdaq.com/article/equifax-panel-clears-executives-of-insider-trading-but-doj-probe-looms-cm871306,"Investing,Stocks"
13,"FOREX-Dollar rises after strong U.S. services, manufacturing data",2017-11-03 11:17:00,http://www.nasdaq.com/article/forexdollar-rises-after-strong-us-services-manufacturing-data-20171103-00756,"Stocks,Economy"
14,AIG's $836 mln reserve boost surprises investors; shares sink,2017-11-03 11:17:00,http://www.nasdaq.com/article/aigs-836-mln-reserve-boost-surprises-investors-shares-sink-20171103-00757,"Stocks,Insurance"
15,"Dollar rises after strong U.S. services, manufacturing data",2017-11-03 11:17:00,http://www.nasdaq.com/article/dollar-rises-after-strong-us-services-manufacturing-data-20171103-00760,"Stocks,Economy"
16,Apple Closes in on $900B Market Cap: $235/Sh is the New Bogey,2017-11-03 11:16:00,http://www.nasdaq.com/article/apple-closes-in-on-900b-market-cap-235sh-is-the-new-bogey-cm871282,"Technology,Stocks"
17,What to Know Before Getting a Credit Card,2017-11-03 11:14:00,http://www.nasdaq.com/article/what-to-know-before-getting-a-credit-card-cm871301,"Personal Finance,Stocks"
